planet_mass,planet_radius,orbital_period,orbital_radius,star_mass,star_radius,star_luminosity
1.3029800000000002,1.0976,10.115,0.0685,0.4,0.36,1.0220258946217802
4.989459999999999,1.9935999999999998,6.034,0.0513,0.58,0.54,1.5904494186408062
4.6081,1.8032,20.523,0.1159,0.58,0.54,1.5862142666790335
18.998084000000002,5.3984,20.88977,0.154,1.07,1.16,3.181966515901627
15.39741,7.4928,42.3391,0.247,1.07,1.16,3.3925052485927565
451.276,17.3824,2.6266657,0.0404,1.39,1.69,4.8499637013508865
70.8694,9.52,11.63344,0.102,1.1,1.65,3.7113702882193884
14.80948,2.408,50.818947,0.2573,0.88,0.85,2.768951405731309
6.540324000000001,1.7135999999999998,2.369172,0.03376,0.92,0.98,2.810720328387119
8.8984,2.9232,14.697,0.1035,0.69,0.7,2.177999048238085
14.297822000000002,2.7327999999999997,19.482,0.1249,0.69,0.7,1.8129796233464153
30.896516000000002,4.4799999999999995,6.771315,0.06702,0.87,0.89,2.0736592201902746
37.08726,7.6608,19.895202,0.1488,1.11,1.28,4.054400846934034
9.680188000000001,2.5872,3.471745,0.03817,0.83,0.79,2.5931772787912593
15.677074000000001,3.5279999999999996,7.138048,0.0824,0.83,0.79,2.600016544367424
6.49901,2.4752,10.45582,0.1178,0.83,0.79,2.6009293612015045
10.700326,1.9487999999999996,14.76289,0.18041,0.83,0.79,2.4297941642089445
6.80092,2.0944,27.359,0.1768,0.64,0.62,1.8723141213938737
100.107,9.4864,14.893291,0.1206,1.06,1.07,3.5801307278563024
48.591620000000006,9.0944,13.156969,0.107,0.95,1.02,2.5821601054799803
10.90054,3.0576,9.21165,0.0923,1.19,1.51,3.981706472196267
245.9772,11.267199999999999,48.36685,0.305,1.19,1.51,4.101903524119879
6.489476000000001,1.5903999999999998,2.225177,0.03261,0.93,0.9,2.8285502169967596
24.499202000000004,2.6319999999999997,16.9841,0.13,1.0,1.09,3.1269735005015136
106.46300000000001,10.0464,4.024867,0.0451,0.74,0.7,1.907462215472485
231.994,13.328,3.2588321,0.04217,0.94,0.86,2.601944389676648
184.0062,11.6368,4.098503,0.04839,0.9,0.84,2.605194159792209
8.749034,1.9487999999999996,3.5951,0.047,1.05,1.71,3.460924506727159
14.669648,3.66688,15.624,0.13,1.05,1.71,3.512786986804799
10.179134000000001,3.9367999999999994,35.747,0.22,1.05,1.71,3.512300778424505
563.7772,11.872,1.25785,0.022,0.91,0.78,2.668482892414902
14.9366,4.9616,8.991828,0.08035,0.86,0.84,2.3987770780950273
